date,market1,market2,lag
2011-01-13,US,NL,-4000
2011-01-27,US,GB,-14000
2011-01-27,GB,US,14000
2011-01-27,NL,GB,4000
2011-01-27,GB,NL,-4000
2011-01-27,NL,US,24000
2011-01-27,US,NL,-24000
2011-02-10,US,GB,-4000
2011-02-10,GB,US,4000
2011-02-10,NL,GB,4000
2011-02-10,GB,NL,-4000
2011-02-10,NL,US,2000
2011-02-10,US,NL,-2000
2011-02-24,US,GB,-6000
2011-02-24,GB,US,6000
2011-02-24,NL,GB,2000
2011-02-24,GB,NL,-2000
2011-02-24,NL,US,6000
2011-02-24,US,NL,-6000
2011-03-10,US,GB,0
2011-03-10,GB,US,0
2011-03-10,NL,GB,12000
2011-03-10,GB,NL,-12000
2011-03-10,NL,US,6000
2011-03-10,US,NL,-6000
2011-03-24,US,GB,-2000
2011-03-24,GB,US,2000
2011-03-24,NL,GB,6000
2011-03-24,GB,NL,-6000
2011-03-24,NL,US,18000
2011-03-24,US,NL,-18000
2011-04-07,US,GB,-7999
2011-04-07,GB,US,7999
2011-04-07,NL,GB,6000
2011-04-07,GB,NL,-6000
2011-04-07,NL,US,2001
2011-04-07,US,NL,-2001
2011-04-21,US,GB,-32000
2011-04-21,GB,US,32000
2011-04-21,NL,GB,14000
2011-04-21,GB,NL,-14000
2011-04-21,NL,US,30000
2011-04-21,US,NL,-30000
2011-05-06,US,GB,-4000
2011-05-06,GB,US,4000
2011-05-06,NL,GB,2000
2011-05-06,GB,NL,-2000
2011-05-06,NL,US,0
2011-05-06,US,NL,0
2011-05-20,US,GB,-10000
2011-05-20,GB,US,10000
2011-05-20,NL,GB,10000
2011-05-20,GB,NL,-10000
2011-05-20,NL,US,18000
2011-05-20,US,NL,-18000
2011-06-03,US,GB,-21500
2011-06-03,GB,US,21500
2011-06-03,NL,GB,6000
2011-06-03,GB,NL,-6000
2011-06-03,NL,US,4001
2011-06-03,US,NL,-4001
2011-06-17,US,GB,-14000
2011-06-17,GB,US,14000
2011-06-17,NL,GB,2000
2011-06-17,GB,NL,-2000
2011-06-17,NL,US,2000
2011-06-17,US,NL,-2000
2011-07-01,US,GB,-2000
2011-07-01,GB,US,2000
2011-07-01,NL,GB,0
2011-07-01,GB,NL,0
2011-07-01,NL,US,4000
2011-07-01,US,NL,-4000
2011-07-15,US,GB,0
2011-07-15,GB,US,0
2011-07-15,NL,GB,6000
2011-07-15,GB,NL,-6000
2011-07-15,NL,US,0
